hero_id,winrate,pickrate,best_teammate,best_teammate_synergy,best_matchups,worst_counters
100,0.503,0.089,92,0.074,"[(58, -0.064), (72, -0.061), (69, -0.061), (90, -0.051), (94, -0.051)]","[(61, 0.126), (108, 0.122), (82, 0.082), (77, 0.082), (56, 0.077)]"
28,0.502,0.117,61,0.067,"[(1, -0.13), (69, -0.077), (121, -0.076), (70, -0.072), (99, -0.068)]","[(61, 0.14), (6, 0.138), (82, 0.105), (108, 0.088), (95, 0.086)]"
63,0.488,0.042,61,0.083,"[(65, -0.087), (121, -0.084), (70, -0.077), (69, -0.071), (79, -0.068)]","[(61, 0.159), (56, 0.137), (108, 0.121), (6, 0.099), (84, 0.078)]"
75,0.489,0.074,61,0.061,"[(99, -0.1), (76, -0.094), (72, -0.076), (70, -0.075), (1, -0.072)]","[(61, 0.198), (108, 0.107), (77, 0.106), (6, 0.091), (4, 0.091)]"
106,0.467,0.106,61,0.057,"[(23, -0.091), (12, -0.089), (90, -0.084), (72, -0.072), (65, -0.064)]","[(108, 0.136), (59, 0.118), (61, 0.117), (82, 0.115), (6, 0.098)]"
22,0.508,0.144,56,0.076,"[(76, -0.106), (72, -0.105), (12, -0.099), (89, -0.083), (114, -0.082)]","[(61, 0.24), (92, 0.115), (108, 0.102), (77, 0.091), (80, 0.089)]"
85,0.528,0.071,92,0.1,"[(67, -0.077), (69, -0.07), (23, -0.068), (13, -0.065), (79, -0.065)]","[(61, 0.157), (82, 0.111), (108, 0.099), (56, 0.09), (6, 0.082)]"
91,0.495,0.039,6,0.066,"[(121, -0.08), (1, -0.078), (72, -0.073), (13, -0.061), (69, -0.056)]","[(61, 0.141), (108, 0.124), (6, 0.098), (92, 0.091), (82, 0.075)]"
49,0.49,0.039,61,0.069,"[(13, -0.078), (121, -0.068), (26, -0.066), (94, -0.062), (105, -0.061)]","[(82, 0.151), (108, 0.142), (61, 0.12), (6, 0.099), (92, 0.09)]"
74,0.501,0.213,61,0.056,"[(94, -0.083), (69, -0.079), (72, -0.068), (121, -0.065), (1, -0.059)]","[(61, 0.178), (56, 0.115), (77, 0.111), (6, 0.108), (108, 0.076)]"
107,0.495,0.068,61,0.063,"[(79, -0.068), (76, -0.061), (58, -0.055), (1, -0.054), (35, -0.054)]","[(61, 0.109), (108, 0.102), (77, 0.088), (56, 0.082), (82, 0.07)]"
62,0.505,0.065,61,0.063,"[(90, -0.083), (53, -0.076), (69, -0.074), (121, -0.068), (99, -0.065)]","[(61, 0.149), (108, 0.101), (6, 0.097), (82, 0.093), (89, 0.083)]"
104,0.513,0.172,61,0.06,"[(65, -0.1), (1, -0.099), (89, -0.079), (39, -0.064), (99, -0.062)]","[(108, 0.101), (6, 0.096), (82, 0.094), (61, 0.083), (92, 0.082)]"
84,0.553,0.2,61,0.093,"[(94, -0.07), (58, -0.068), (70, -0.066), (90, -0.065), (69, -0.064)]","[(61, 0.18), (77, 0.122), (108, 0.115), (82, 0.113), (6, 0.087)]"
70,0.455,0.069,61,0.055,"[(1, -0.077), (58, -0.076), (13, -0.072), (53, -0.062), (94, -0.061)]","[(61, 0.127), (6, 0.111), (56, 0.105), (40, 0.09), (77, 0.082)]"
7,0.485,0.131,61,0.089,"[(12, -0.102), (90, -0.075), (58, -0.073), (89, -0.07), (1, -0.069)]","[(56, 0.116), (108, 0.109), (6, 0.102), (47, 0.079), (92, 0.074)]"
